,main_folder,seed,sample,cif_path,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,iptm,ptm,ranking_score,pdb_path,pdockq,avg_ipae
0,salcis15,44,0,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-0/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.65]]","[[0.76, 28.92], [29.96, 0.76]]","[0.59, 0.65]",0.04,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-0/model.pdb,0.023626858216152926,29.44
1,salcis15,33,0,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-0/model.cif,"[0.11, 0.11]","[[0.58, 0.11], [0.11, 0.65]]","[[0.76, 23.41], [22.75, 0.76]]","[0.58, 0.65]",0.04,0.0,0.11,0.42,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-0/model.pdb,0.06105025526687449,23.08
2,salcis15,44,1,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-1/model.cif,"[0.09, 0.09]","[[0.54, 0.09], [0.09, 0.64]]","[[0.76, 29.6], [28.71, 0.76]]","[0.54, 0.64]",0.06,0.0,0.09,0.4,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-1/model.pdb,0.3393993482429085,29.155
3,salcis15,33,1,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-1/model.cif,"[0.11, 0.11]","[[0.59, 0.11], [0.11, 0.66]]","[[0.76, 23.18], [22.83, 0.76]]","[0.59, 0.66]",0.06,0.0,0.11,0.43,0.2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-1/model.pdb,0.04789428084522318,23.005
4,salcis15,83,1,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-1/model.cif,"[0.1, 0.1]","[[0.55, 0.1], [0.1, 0.64]]","[[0.76, 25.15], [22.64, 0.76]]","[0.55, 0.64]",0.04,0.0,0.1,0.41,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-1/model.pdb,0.060464405479452296,23.895
5,salcis15,10,1,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-1/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.67]]","[[0.76, 28.52], [29.55, 0.76]]","[0.59, 0.67]",0.06,0.0,0.09,0.43,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-1/model.pdb,0.018258893561979524,29.035
6,salcis15,10,0,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-0/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.65]]","[[0.76, 28.68], [29.79, 0.76]]","[0.59, 0.65]",0.05,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-0/model.pdb,0.042979808828556454,29.235
7,salcis15,83,0,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-0/model.cif,"[0.1, 0.1]","[[0.55, 0.1], [0.1, 0.64]]","[[0.76, 25.68], [23.81, 0.76]]","[0.55, 0.64]",0.04,0.0,0.1,0.4,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-0/model.pdb,0.03535472871979005,24.744999999999997
8,salcis15,61,1,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-1/model.cif,"[0.09, 0.09]","[[0.6, 0.09], [0.09, 0.65]]","[[0.76, 29.04], [29.71, 0.76]]","[0.6, 0.65]",0.04,0.0,0.09,0.44,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-1/model.pdb,0.0,29.375
9,salcis15,61,0,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-0/model.cif,"[0.09, 0.09]","[[0.6, 0.09], [0.09, 0.65]]","[[0.76, 30.37], [30.4, 0.76]]","[0.6, 0.65]",0.05,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-0/model.pdb,0.11466624879610851,30.384999999999998
10,salcis15,33,4,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-4/model.cif,"[0.11, 0.11]","[[0.57, 0.11], [0.11, 0.65]]","[[0.76, 23.78], [23.61, 0.76]]","[0.57, 0.65]",0.05,0.0,0.11,0.42,0.2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-4/model.pdb,0.050645213993784424,23.695
11,salcis15,33,3,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-3/model.cif,"[0.12, 0.12]","[[0.58, 0.12], [0.12, 0.66]]","[[0.76, 23.48], [22.67, 0.76]]","[0.58, 0.66]",0.06,0.0,0.12,0.42,0.21,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-3/model.pdb,0.04596864858178038,23.075000000000003
